fdc_id,food_name,food_category_name,"Magnesium, Mg, MG","Iron, Fe, MG","Nitrogen, G","Selenium, Se, UG","Vitamin B-6, MG","Copper, Cu, MG","Phosphorus, P, MG","Calcium, Ca, MG","Potassium, K, MG","Manganese, Mn, MG","Sodium, Na, MG","Thiamin, MG","Zinc, Zn, MG","Niacin, MG","Riboflavin, MG"
321358,"Hummus, commercial",Legumes and Legume Products,71.1,2.41,1.18,16.2,0.143,0.348,166,41,289,1.06,438,0.15,1.38,0.948,0.115
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,12,0,0.53,1.8,0.061,0.001,103,126,159,0.001,39,0.059,0.43,0.112,0.137
321360,"Tomatoes, grape, raw",Vegetables and Vegetable Products,11.9,0.33,0.13,0,0.06,0.058,28,11,260,0.121,6,0.075,0.2,0.805,0.065
321505,"Salt, table, iodized",Spices and Herbs,0,0,0,0,0,0,0,50,2,0.032,38700,0,0,0,0
321611,"Beans, snap, green, canned, regular pack, drained solids",Vegetables and Vegetable Products,12.7,0.78,0.17,0,0,0.041,23,36,97,0.176,282,0,0.19,0,0
321900,"Broccoli, raw",Vegetables and Vegetable Products,21,0.69,0.41,1.6,0.191,0.059,67,46,303,0.197,36,0.077,0.42,0.639,0.114
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,12,0,0.53,2.1,0.06,0.001,103,126,159,0,39,0.057,0.43,0.113,0.14
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Dairy and Egg Products,12.5,0,0.54,2,0.058,0.002,107,132,167,0.001,41,0.056,0.45,0.118,0.131
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",Dairy and Egg Products,11.9,0,0.51,1.9,0.061,0.001,101,123,150,0,38,0.056,0.41,0.105,0.138
323121,"Frankfurter, beef, unheated",Sausages and Luncheon Meats,11.5,1.14,1.87,0,0.13,0.046,128,15,343,0.031,872,0.033,2.06,2.25,0.154
323294,"Nuts, almonds, dry roasted, with salt added",Nut and Seed Products,258,3.17,3.94,0,0.075,0.87,456,273,684,2.02,256,0.079,2.8,3.1,1.57
323444,"Cheese, ricotta, whole milk",Dairy and Egg Products,19.7,0.1,1.22,5.5,0.099,0,162,224,230,0,105,0.043,0.56,0.168,0.327
323505,"Kale, raw",Vegetables and Vegetable Products,32.7,1.6,0.47,0,0.147,0.053,55,254,348,0.92,53,0.113,0.39,1.18,0.347
323604,"Egg, whole, raw, frozen, pasteurized",Dairy and Egg Products,11.2,1.77,1.97,0,0,0,189,55,117,0,121,0,1.2,0,0
323697,"Egg, white, raw, frozen, pasteurized",Dairy and Egg Products,10.6,0.18,1.61,0,0,0,0,9,130,0,144,0,0.02,0,0
323793,"Egg, white, dried",Dairy and Egg Products,87.6,0,12.8,0,0,0,107,104,959,0,1250,0,0.43,0,0
324038,"Sauce, salsa, ready-to-serve","Soups, Sauces, and Gravies",15.2,0.42,0.23,0,0.176,0.065,32,28,258,0.11,656,0.035,0.2,1.12,0
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",Sausages and Luncheon Meats,19.7,1.55,2.13,11.6,0.15,0.075,124,35,263,0.174,866,0.054,2.14,2.43,0.132
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",Vegetables and Vegetable Products,20.4,1.14,0.74,5.6,0.127,0.081,75,28,135,0.435,374,0.196,0.59,1.57,0.116
324653,"Pickles, cucumber, dill or kosher dill",Vegetables and Vegetable Products,7.1,0.23,0.08,0,0.034,0.026,16,54,112,0.056,808,0.047,0.11,0.109,0.057
324860,"Peanut butter, smooth style, with salt",Legumes and Legume Products,169,1.73,4.11,4.1,0.444,0.42,339,49,564,1.68,429,0.138,2.54,13.3,0.191
325036,"Cheese, parmesan, grated",Dairy and Egg Products,34.9,0.45,4.63,35,0.081,0.04,634,884,184,0.066,1750,0.027,4.33,0.078,0.345
325198,"Cheese, pasteurized process, American, vitamin D fortified",Dairy and Egg Products,25.1,0.48,2.82,20.4,0.056,0.046,540,866,149,0.038,1660,0.015,2.42,0.095,0.247
325287,"Grapefruit juice, white, canned or bottled, unsweetened",Fruits and Fruit Juices,9.6,0.07,0.09,0,0,0.032,17,16,141,0.02,1,0.062,0.04,0.253,0.02
325430,"Peaches, yellow, raw",Fruits and Fruit Juices,8,0.34,0.15,2.1,0.025,0.078,22,4,122,0.026,13,0.024,0.23,0.806,0.031
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",Nut and Seed Products,358,5.21,3.96,80.4,0.76,1.83,750,78,689,2.89,532,0.473,6,6.96,0.507
325658,"Sausage, Italian, pork, mild, cooked, pan-fried",Sausages and Luncheon Meats,18.6,1.29,2.91,20.2,0.343,0.074,145,12,310,0.033,766,0.31,2.41,5.73,0.242
325871,"Bread, white, commercially prepared",Baked Products,26.9,3.36,1.51,23.2,0.092,0.124,113,211,117,0.632,477,0.507,0.88,4.76,0.24
325992,"Sausage, turkey, breakfast links, mild, raw",Sausages and Luncheon Meats,18.9,1.17,2.67,12.5,0.335,0.07,178,32,310,0.035,599,0.047,2.58,5.02,0.296
326135,"Cheese, swiss",Dairy and Egg Products,33.4,0.13,4.23,30.1,0.07,0.047,574,890,71,0.027,185,0.011,4.37,0.06,0.303
326196,"Kale, frozen, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,25,0.84,0.47,0,0.063,0.067,42,150,144,0.542,16,0.063,0.27,0.457,0.14
326698,"Mustard, prepared, yellow",Spices and Herbs,47.7,1.59,0.68,34,0.069,0.074,108,63,150,0.42,1100,0.189,0.64,0.561,0.066
326905,"Figs, dried, uncooked",Fruits and Fruit Juices,67.6,2.03,0.53,0.6,0.106,0.287,67,162,680,0.51,10,0.085,0.66,0.619,0.082
327198,"Melons, cantaloupe, raw",Fruits and Fruit Juices,13,0.38,0.13,1.7,0.04,0.085,17,9,157,0.046,30,0.049,0.44,0.694,0.027
327357,"Nectarines, raw",Fruits and Fruit Juices,8.8,0.3,0.17,0,0.025,0.082,26,2,131,0.047,13,0.034,0.21,1.12,0.027
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,10.7,0.33,0.14,0,0.079,0.064,23,43,166,0.029,9,0.068,0.11,0.425,0.051
327923,"Lettuce, cos or romaine, raw",Vegetables and Vegetable Products,13.7,0.95,0.2,0.4,0.078,0.048,30,35,253,0.127,0,0.079,0.25,0.323,0.072
328637,"Cheese, cheddar",Dairy and Egg Products,26.8,0.16,3.65,28.3,0.069,0.033,458,707,77,0.026,654,0.029,3.67,0.052,0.441
328841,"Cheese, cottage, lowfat, 2% milkfat",Dairy and Egg Products,8.9,0.13,1.73,14.6,0.057,0.03,148,103,120,0.015,321,0.02,0.61,0.09,0.234
329370,"Cheese, mozzarella, low moisture, part-skim",Dairy and Egg Products,27.2,0.2,3.71,26.7,0.09,0.035,533,693,116,0.035,699,0.023,3.62,0.101,0.36
329490,"Egg, whole, dried",Dairy and Egg Products,44.6,6.97,7.69,0,0,0,770,220,468,0,485,0,5.02,0,0
329596,"Egg, yolk, raw, frozen, pasteurized",Dairy and Egg Products,11.2,4.13,2.49,0,0,0,443,119,102,0.068,66,0,2.93,0,0
329716,"Egg, yolk, dried",Dairy and Egg Products,26,9.28,5.48,0,0,0,982,270,231,0,149,0,7.11,0,0
329830,"Cheese, dry white, queso seco",Dairy and Egg Products,26.7,0.18,3.84,22.4,0.091,0.027,475,661,116,0.018,1810,0.038,3.28,0.083,0.23
330137,"Yogurt, Greek, plain, nonfat",Dairy and Egg Products,10.7,0.07,1.61,9.9,0.064,0.017,136,111,141,0.009,36,0.022,0.53,0.211,0.281
330415,"Yogurt, Greek, strawberry, nonfat",Dairy and Egg Products,10.4,0.09,0,9.8,0.05,0.02,113,97,133,0.034,32,0,0.46,0.208,0.25
330458,"Oil, coconut",Fats and Oils,0,0.05,0,0,0,0,0,1,0,0,0,0,0.02,0,0
330869,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",Poultry Products,29.1,1.56,4.34,28.4,0.497,0.166,259,31,304,0.01,90,0.088,3.77,8.09,0.262
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",Poultry Products,22.4,0.94,3.83,27.9,0.372,0.063,184,12,239,0.018,117,0.088,2.54,5.05,0.18
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",Poultry Products,32,0.49,5.13,31.9,0.921,0.044,241,6,343,0.012,47,0.098,0.96,9.45,0.187
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve","Soups, Sauces, and Gravies",18.5,0.78,0.23,0,0,0.081,34,27,319,0.137,419,0,0.2,0,0
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",Sausages and Luncheon Meats,18.8,0.58,2.67,0,0,0.05,261,5,425,0,1040,0,1.52,0,0
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,5.7,0.17,0.06,0.2,0.026,0.07,10,8,87,0.032,7,0.012,0.07,0.164,0.026
332791,"Olives, green, Manzanilla, stuffed with pimiento",Fruits and Fruit Juices,12.4,0.31,0.18,0,0,0.107,7,121,43,0.047,1620,0.041,0.09,0.103,0
332864,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",Sausages and Luncheon Meats,30.1,2.34,3.09,25.9,0.554,0.13,207,37,435,0.188,983,0.365,2.19,7.06,0.42
333008,"Cookies, oatmeal, soft, with raisins",Baked Products,32.4,2.28,0.93,6,0.07,0.141,111,29,245,0.755,314,0.295,0.62,2.11,0.218
333281,"Tomatoes, canned, red, ripe, diced",Vegetables and Vegetable Products,9.8,0.57,0.14,0,0,0.052,18,30,198,0.068,125,0,0.12,0,0
333374,"Fish, haddock, raw",Finfish and Shellfish Products,21.1,0.17,2.61,25.9,0.281,0.021,227,11,286,0.011,213,0.02,0.32,3.36,0.057
333476,"Fish, pollock, raw",Finfish and Shellfish Products,16.1,0.22,1.97,15.9,0.069,0.031,284,15,160,0.011,333,0.03,0.31,0.653,0.08
334194,"Fish, tuna, light, canned in water, drained solids",Finfish and Shellfish Products,22.7,1.67,3.04,67.8,0.32,0.048,137,18,176,0.019,219,0.03,0.66,9.92,0.082
334247,"Sugars, granulated",Sweets,0.3,0.05,0,0,0,0.007,0,1,2,0.004,1,0,0.01,0,0
334462,"Restaurant, Chinese, sweet and sour pork",Restaurant Foods,13,3.07,1.42,9.7,0.17,0.06,133,46,152,0.173,304,0.235,1.07,2.11,0.103
334536,"Restaurant, Chinese, fried rice, without meat",Restaurant Foods,9.7,0.46,0.61,0,0,0.086,44,11,69,0.428,361,0,0.69,0,0
334628,"Restaurant, Latino, tamale, pork",Restaurant Foods,26.2,0.87,1.18,9.8,0.132,0.05,120,75,152,0.186,473,0.04,1.2,1.29,0.05
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",Restaurant Foods,53.6,1.46,0.9,7,0.172,0.141,144,51,305,0.344,305,0.077,0.94,0.867,0.03
334849,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",Beef Products,11.3,1.9,0,21.3,0.575,0.043,206,15,282,0.002,45,0.053,3.76,6.88,0.202
334897,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",Beef Products,13.7,3.04,0,25.4,0.67,0.097,259,13,352,0.008,54,0,3.7,5.76,0.4
334898,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,11.4,1.37,0,22.2,0.638,0.035,222,13,312,0.002,50,0,3.38,6.58,0.185
334963,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,11.9,2.34,0,22.7,0.626,0.047,220,13,316,0.003,55,0.064,3.54,6.16,0.25
335061,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Beef Products,20,3.53,0,29.7,0.753,0.078,211,19,283,0.003,67,0,4.69,6.37,0.27
335109,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",Beef Products,10.7,2.26,0,21.4,0.751,0.075,200,19,266,0.003,43,0,3.52,5.32,0.23
335240,"Bread, whole-wheat, commercially prepared",Baked Products,76.6,2.56,1.97,25.8,0.216,0.226,212,163,250,2.18,450,0.391,1.76,4.43,0.166
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",Beef Products,13.7,3.04,0,25.4,0.67,0.097,259,13,352,0.008,54,0,3.7,5.76,0.4
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",Beef Products,11.3,1.9,0,21.3,0.575,0.043,206,15,282,0.002,45,0.053,3.76,6.88,0.202
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,11.4,1.37,0,22.2,0.638,0.035,222,13,312,0.002,50,0,3.38,6.58,0.185
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,11.9,2.34,0,22.7,0.626,0.047,220,13,316,0.003,55,0.064,3.54,6.16,0.25
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",Beef Products,10.7,2.26,0,21.4,0.751,0.075,200,19,266,0.003,43,0,3.52,5.32,0.23
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Beef Products,20,3.53,0,29.7,0.753,0.078,211,19,283,0.003,67,0,4.69,6.37,0.27
746765,"Cheese, dry white, queso seco",Dairy and Egg Products,26.7,0.18,3.84,22.4,0.091,0.027,475,661,116,0.018,1810,0.038,3.28,0.083,0.23
746766,"Cheese, ricotta, whole milk",Dairy and Egg Products,19.7,0.1,1.22,5.5,0.099,0,162,224,230,0,105,0.043,0.56,0.168,0.327
746767,"Cheese, swiss",Dairy and Egg Products,33.4,0.13,4.23,30.1,0.07,0.047,574,890,71,0.027,185,0.011,4.37,0.06,0.303
746768,"Figs, dried, uncooked",Fruits and Fruit Juices,67.6,2.03,0.53,0.6,0.106,0.287,67,162,680,0.51,10,0.085,0.66,0.619,0.082
746769,"Lettuce, cos or romaine, raw",Vegetables and Vegetable Products,13.7,0.95,0.2,0.4,0.078,0.048,30,35,253,0.127,0,0.079,0.25,0.323,0.072
746770,"Melons, cantaloupe, raw",Fruits and Fruit Juices,13,0.38,0.13,1.7,0.04,0.085,17,9,157,0.046,30,0.049,0.44,0.694,0.027
746771,"Oranges, raw, navels",Fruits and Fruit Juices,10.7,0.33,0.14,0,0.079,0.064,23,43,166,0.029,9,0.068,0.11,0.425,0.051
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,12,0,0.53,2.1,0.06,0.001,103,126,159,0,39,0.057,0.43,0.113,0.14
746773,"Pears, raw, bartlett",Fruits and Fruit Juices,5.7,0.17,0.06,0.2,0.026,0.07,10,8,87,0.032,7,0.012,0.07,0.164,0.026
746774,"Restaurant, Chinese, sweet and sour pork",Restaurant Foods,13,3.07,1.42,9.7,0.17,0.06,133,46,152,0.173,304,0.235,1.07,2.11,0.103
746775,"Salt, table, iodized",Spices and Herbs,0,0,0,0,0,0,0,50,2,0.032,38700,0,0,0,0
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Dairy and Egg Products,12.5,0,0.54,2,0.058,0.002,107,132,167,0.001,41,0.056,0.45,0.118,0.131
746777,"Sauce, salsa, ready-to-serve","Soups, Sauces, and Gravies",15.2,0.42,0.23,0,0.176,0.065,32,28,258,0.11,656,0.035,0.2,1.12,0
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,12,0,0.53,1.8,0.061,0.001,103,126,159,0.001,39,0.059,0.43,0.112,0.137
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",Sausages and Luncheon Meats,19.7,1.55,2.13,11.6,0.15,0.075,124,35,263,0.174,866,0.054,2.14,2.43,0.132
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",Sausages and Luncheon Meats,18.6,1.29,2.91,20.2,0.343,0.074,145,12,310,0.033,766,0.31,2.41,5.73,0.242
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",Sausages and Luncheon Meats,30.1,2.34,3.09,25.9,0.554,0.13,207,37,435,0.188,983,0.365,2.19,7.06,0.42
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",Dairy and Egg Products,11.9,0,0.51,1.9,0.061,0.001,101,123,150,0,38,0.056,0.42,0.105,0.138
746783,"Sausage, turkey, breakfast links, mild, raw",Sausages and Luncheon Meats,18.9,1.17,2.67,12.5,0.335,0.07,178,32,310,0.035,599,0.047,2.58,5.02,0.296
746784,"Sugars, granulated",Sweets,0.3,0.05,0,0,0,0.007,0,1,2,0.004,1,0,0.01,0,0
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",Poultry Products,29.1,1.56,4.34,28.4,0.497,0.166,259,31,304,0.01,90,0.088,3.77,8.09,0.262
746952,"Ham, sliced, restaurant",Pork Products,20.3,0.86,3.14,0,0,0.041,246,6,484,0.015,1030,0,1.76,0,0
747429,"Cheese, American, restaurant",Dairy and Egg Products,25,0.24,2.74,0,0,0.042,380,508,173,0.018,1600,0,2.45,0,0
747447,"Broccoli, raw",Vegetables and Vegetable Products,21,0.69,0.41,1.6,0.191,0.059,67,46,303,0.197,36,0.077,0.42,0.639,0.114
747997,"Eggs, Grade A, Large, egg white",Dairy and Egg Products,0,0,1.71,17.9,0,0,0,0,0,0,0,0,0,0,0.391
748236,"Eggs, Grade A, Large, egg yolk",Dairy and Egg Products,0,0,2.59,55.8,0,0,0,0,0,0,0,0,0,0,0.467
748967,"Eggs, Grade A, Large, egg whole",Dairy and Egg Products,11.4,1.67,1.99,31.1,0.063,0,184,48,132,0,129,0.077,1.24,0,0.419
749420,"Pork, cured, bacon, cooked, restaurant",Pork Products,36.5,1.28,6.54,0,0,0.13,415,13,557,0.02,1830,0,3.56,0,0
790577,"Onions, red, raw",Vegetables and Vegetable Products,11.4,0.24,0,0.5,0,0.058,41,17,197,0.119,1,0,0.17,0,0
790646,"Onions, yellow, raw",Vegetables and Vegetable Products,9,0.28,0,0,0,0.035,34,15,182,0.144,1,0,0.2,0,0
790774,"Bananas, overripe, raw",Fruits and Fruit Juices,0,0,0.12,0,0.234,0,0,0,0,0,0,0.04,0,0.57,0
790991,"Bananas, ripe and slightly ripe, raw",Fruits and Fruit Juices,28,0,0.12,0,0.209,0.101,22,5,326,0.258,0,0.056,0.16,0.662,0
1105073,"Bananas, overripe, raw",Fruits and Fruit Juices,0,0,0.12,0,0.234,0,0,0,0,0,0,0.04,0,0.57,0
1105314,"Bananas, ripe and slightly ripe, raw",Fruits and Fruit Juices,28,0,0.12,0,0.209,0.101,22,5,326,0.258,0,0.056,0.16,0.662,0
